featurizer_id,issue_id,response_latency,cost,clear_isolated_cause,complex_data_formats,component_interactions,config_special_chars,cross_platform,database_specific,encoding_i18n,environment_dependent,localized_fix,math_edge_cases,no_deep_implementation,parsing_regex,reproducible,resource_optimization,simple_edge_case,single_component,standard_patterns,type_coercion,undocumented_assumptions
baseline,astropy__astropy-12907,6.42668604850769,0.010653,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,astropy__astropy-13033,6.241966009140015,0.011844,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,astropy__astropy-13236,6.574841022491455,0.011165999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-13398,6.123800992965698,0.014031000000000002,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
baseline,astropy__astropy-13453,6.463120222091675,0.016944,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,astropy__astropy-13579,6.582823276519775,0.014637,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
baseline,astropy__astropy-13977,6.338437080383301,0.012714,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True
baseline,astropy__astropy-14096,6.038445949554443,0.010443000000000001,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
baseline,astropy__astropy-14182,6.5577170848846436,0.011412,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,astropy__astropy-14309,6.241382122039795,0.014022,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
baseline,astropy__astropy-14365,5.881840229034424,0.011061000000000001,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,astropy__astropy-14369,6.053398609161377,0.011811,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,astropy__astropy-14508,6.178451299667358,0.012171000000000001,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-14539,6.247618913650513,0.011085000000000001,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True
baseline,astropy__astropy-14598,6.444642066955566,0.012171000000000001,True,True,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,astropy__astropy-14995,6.17599892616272,0.012045,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-7166,5.291798830032349,0.009687,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,astropy__astropy-7336,6.143942356109619,0.010941,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-7606,5.9330291748046875,0.010499999999999999,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-7671,6.144262790679932,0.011358,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,False
baseline,astropy__astropy-8707,5.624436140060425,0.010211999999999999,True,False,False,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,False
baseline,astropy__astropy-8872,5.753381013870239,0.010506,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False
baseline,django__django-10097,6.226355075836182,0.011448,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-10554,7.175323963165283,0.012801,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
baseline,django__django-10880,5.029990911483765,0.00975,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False
baseline,django__django-10914,5.497135162353516,0.010317,True,False,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True
baseline,django__django-10973,5.116627216339111,0.009828,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False
baseline,django__django-10999,5.733726978302002,0.010356,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
baseline,django__django-11066,6.084661960601807,0.011013,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True
baseline,django__django-11087,7.1017279624938965,0.019179,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True
